Date,Open,High,Low,Close,Adj Close,Volume
2022-01-26,74000.000000,74000.000000,74000.000000,74000.000000,74000.000000,0
2022-01-27,73800.000000,74000.000000,71300.000000,71300.000000,71300.000000,22274777
2022-01-28,71300.000000,73700.000000,71200.000000,73300.000000,73300.000000,21367447
2022-02-03,74900.000000,74900.000000,73300.000000,73300.000000,73300.000000,17744721
2022-02-04,74300.000000,74600.000000,73400.000000,74000.000000,74000.000000,12730034
2022-02-07,73500.000000,73600.000000,72400.000000,73000.000000,73000.000000,14240838
2022-02-08,73000.000000,73000.000000,73000.000000,73000.000000,73000.000000,0
2022-02-09,73000.000000,73000.000000,73000.000000,73000.000000,73000.000000,0
2022-02-10,75600.000000,75800.000000,74700.000000,75400.000000,75400.000000,17746033
2022-02-11,75000.000000,75500.000000,74600.000000,74900.000000,74900.000000,12205407
2022-02-14,74400.000000,74500.000000,73100.000000,73700.000000,73700.000000,13993255
2022-02-15,74100.000000,74200.000000,73100.000000,73700.000000,73700.000000,9320365
2022-02-16,74600.000000,74900.000000,74200.000000,74800.000000,74800.000000,10767386
2022-02-17,75000.000000,75600.000000,74500.000000,75000.000000,75000.000000,13605382
2022-02-18,74600.000000,74800.000000,73700.000000,74300.000000,74300.000000,10122226
2022-02-21,74300.000000,74300.000000,74300.000000,74300.000000,74300.000000,0
2022-02-22,74300.000000,74300.000000,74300.000000,74300.000000,74300.000000,0
2022-02-23,74300.000000,74300.000000,74300.000000,74300.000000,74300.000000,0
2022-02-24,72300.000000,72300.000000,71300.000000,71500.000000,71500.000000,15759283
2022-02-25,72100.000000,72600.000000,71900.000000,71900.000000,71900.000000,13168484
2022-02-28,71900.000000,71900.000000,71900.000000,71900.000000,71900.000000,0
2022-03-02,72300.000000,72400.000000,71500.000000,71700.000000,71700.000000,12481430
2022-03-03,72300.000000,73100.000000,72200.000000,72900.000000,72900.000000,13232638
2022-03-04,72900.000000,72900.000000,72900.000000,72900.000000,72900.000000,0
2022-03-07,70000.000000,70600.000000,69900.000000,70100.000000,70100.000000,18617138
2022-03-08,68800.000000,70000.000000,68700.000000,69500.000000,69500.000000,15828269
2022-03-10,69500.000000,69500.000000,69500.000000,69500.000000,69500.000000,0
2022-03-11,70500.000000,70700.000000,69700.000000,70000.000000,70000.000000,15787655
2022-03-14,70000.000000,70200.000000,69600.000000,70200.000000,70200.000000,9040993
2022-03-15,70200.000000,70200.000000,70200.000000,70200.000000,70200.000000,0
2022-03-16,70200.000000,70500.000000,69700.000000,70400.000000,70400.000000,10175750
2022-03-17,70400.000000,70400.000000,70400.000000,70400.000000,70400.000000,0
2022-03-18,70600.000000,70900.000000,70200.000000,70700.000000,70700.000000,14410038
2022-03-21,70900.000000,71000.000000,69900.000000,69900.000000,69900.000000,11169002
2022-03-22,69900.000000,70500.000000,69900.000000,70300.000000,70300.000000,9402666
2022-03-23,70600.000000,71200.000000,70300.000000,70500.000000,70500.000000,12398025
2022-03-24,69600.000000,70300.000000,69600.000000,69800.000000,69800.000000,37943357
2022-03-25,70100.000000,70200.000000,69600.000000,69800.000000,69800.000000,12986010
2022-03-28,69500.000000,69900.000000,69200.000000,69700.000000,69700.000000,12619289
2022-03-29,70000.000000,70300.000000,69800.000000,70200.000000,70200.000000,13686208
2022-03-30,70300.000000,70500.000000,69800.000000,69900.000000,69900.000000,12670187
2022-03-31,69900.000000,70200.000000,69600.000000,69600.000000,69600.000000,12510366
2022-04-01,69500.000000,69500.000000,69000.000000,69100.000000,69100.000000,15916846
2022-04-04,68900.000000,69300.000000,68600.000000,69300.000000,69300.000000,11107905
2022-04-05,69400.000000,69600.000000,69100.000000,69200.000000,69200.000000,8467248
2022-04-06,68600.000000,68800.000000,68500.000000,68500.000000,68500.000000,15517308
2022-04-07,68500.000000,68500.000000,68000.000000,68000.000000,68000.000000,20683327
2022-04-08,68100.000000,68300.000000,67700.000000,67800.000000,67800.000000,15453191
2022-04-11,67800.000000,68100.000000,67400.000000,67900.000000,67900.000000,12263735
2022-04-12,67600.000000,67700.000000,67000.000000,67000.000000,67000.000000,13924389
2022-04-13,67300.000000,69000.000000,67200.000000,68700.000000,68700.000000,17378619
2022-04-14,68700.000000,68700.000000,67500.000000,67500.000000,67500.000000,16409494
2022-04-15,67200.000000,67300.000000,66500.000000,66600.000000,66600.000000,13176415
2022-04-18,66500.000000,67100.000000,66100.000000,66700.000000,66700.000000,10119203
2022-04-19,67100.000000,68000.000000,67000.000000,67300.000000,67300.000000,12959434
2022-04-20,67000.000000,67400.000000,66500.000000,67400.000000,67400.000000,16693293
2022-04-21,67600.000000,68300.000000,67500.000000,67700.000000,67700.000000,12847448
2022-04-22,67200.000000,67300.000000,66700.000000,67000.000000,67000.000000,11791478
2022-04-25,66500.000000,66600.000000,66300.000000,66300.000000,66300.000000,10771253
